content_filtered,3-gram
['ampun'],[]
"['offline', 'dimasukin', 'daftar', 'offline', 'internet']","[('offline', 'dimasukin', 'daftar'), ('dimasukin', 'daftar', 'offline'), ('daftar', 'offline', 'internet')]"
"['masalah', 'duitin', 'bobrok', 'edit', 'cerita', 'susah', 'lama', 'loadingnya', 'save', 'sejak', 'update', 'takut', 'update', 'bug']","[('masalah', 'duitin', 'bobrok'), ('duitin', 'bobrok', 'edit'), ('bobrok', 'edit', 'cerita'), ('edit', 'cerita', 'susah'), ('cerita', 'susah', 'lama'), ('susah', 'lama', 'loadingnya'), ('lama', 'loadingnya', 'save'), ('loadingnya', 'save', 'sejak'), ('save', 'sejak', 'update'), ('sejak', 'update', 'takut'), ('update', 'takut', 'update'), ('takut', 'update', 'bug')]"
"['naruh', 'link', 'akun', 'update', 'naruh', 'link', 'akun', 'author', 'susah', 'naruh', 'link', 'baca', 'cerita', 'chapternya', 'taruh', 'karyak', 'rs', 'dibalikin', 'bintang', 'as', 'in']","[('naruh', 'link', 'akun'), ('link', 'akun', 'update'), ('akun', 'update', 'naruh'), ('update', 'naruh', 'link'), ('naruh', 'link', 'akun'), ('link', 'akun', 'author'), ('akun', 'author', 'susah'), ('author', 'susah', 'naruh'), ('susah', 'naruh', 'link'), ('naruh', 'link', 'baca'), ('link', 'baca', 'cerita'), ('baca', 'cerita', 'chapternya'), ('cerita', 'chapternya', 'taruh'), ('chapternya', 'taruh', 'karyak'), ('taruh', 'karyak', 'rs'), ('karyak', 'rs', 'dibalikin'), ('rs', 'dibalikin', 'bintang'), ('dibalikin', 'bintang', 'as'), ('bintang', 'as', 'in')]"
"['masalah', 'sinyal', 'beranda', 'nunjukin', 'sinyal', 'jelek', 'gonta', 'data', 'wifi', 'gabisa', 'perbaikin', 'kuali', 'tas', 'lama', 'jelek']","[('masalah', 'sinyal', 'beranda'), ('sinyal', 'beranda', 'nunjukin'), ('beranda', 'nunjukin', 'sinyal'), ('nunjukin', 'sinyal', 'jelek'), ('sinyal', 'jelek', 'gonta'), ('jelek', 'gonta', 'data'), ('gonta', 'data', 'wifi'), ('data', 'wifi', 'gabisa'), ('wifi', 'gabisa', 'perbaikin'), ('gabisa', 'perbaikin', 'kuali'), ('perbaikin', 'kuali', 'tas'), ('kuali', 'tas', 'lama'), ('tas', 'lama', 'jelek')]"
"['susah', 'daftar', 'nyaa', 'kata', 'sandi', 'susahh', 'baget']","[('susah', 'daftar', 'nyaa'), ('daftar', 'nyaa', 'kata'), ('nyaa', 'kata', 'sandi'), ('kata', 'sandi', 'susahh'), ('sandi', 'susahh', 'baget')]"
"['iklan', 'iklan']",[]
[],[]
"['masuk', 'akun']",[]
"['hibur', 'tani', 'lopyu']","[('hibur', 'tani', 'lopyu')]"
"['bug', 'fitur', 'cari', 'kalah', 'saing']","[('bug', 'fitur', 'cari'), ('fitur', 'cari', 'kalah'), ('cari', 'kalah', 'saing')]"
"['kpn', 'masuk', 'ganguan', 'bntu']","[('kpn', 'masuk', 'ganguan'), ('masuk', 'ganguan', 'bntu')]"
"['aneh', 'cerita', 'underrated', 'sedang', 'cerita', 'pasar', 'rating', 'atas']","[('aneh', 'cerita', 'underrated'), ('cerita', 'underrated', 'sedang'), ('underrated', 'sedang', 'cerita'), ('sedang', 'cerita', 'pasar'), ('cerita', 'pasar', 'rating'), ('pasar', 'rating', 'atas')]"
"['bug', 'error']",[]
"['vote', 'error', 'revisi']","[('vote', 'error', 'revisi')]"
"['tagih', 'klik', 'an', 'playstore', 'iklan', 'iseng', 'klik', 'an', 'bkal', 'tulis', 'an', 'ambil', 'uang', 'awas', 'kluar', 'uang']","[('tagih', 'klik', 'an'), ('klik', 'an', 'playstore'), ('an', 'playstore', 'iklan'), ('playstore', 'iklan', 'iseng'), ('iklan', 'iseng', 'klik'), ('iseng', 'klik', 'an'), ('klik', 'an', 'bkal'), ('an', 'bkal', 'tulis'), ('bkal', 'tulis', 'an'), ('tulis', 'an', 'ambil'), ('an', 'ambil', 'uang'), ('ambil', 'uang', 'awas'), ('uang', 'awas', 'kluar'), ('awas', 'kluar', 'uang')]"
"['tulis', 'bab', 'draft', 'publish', 'blokir', 'akun', 'cerita', 'hilang', 'kejap', 'ye', 'bal', 'sungguh', 'rasa', 'muak', 'olah', 'olah', 'main']","[('tulis', 'bab', 'draft'), ('bab', 'draft', 'publish'), ('draft', 'publish', 'blokir'), ('publish', 'blokir', 'akun'), ('blokir', 'akun', 'cerita'), ('akun', 'cerita', 'hilang'), ('cerita', 'hilang', 'kejap'), ('hilang', 'kejap', 'ye'), ('kejap', 'ye', 'bal'), ('ye', 'bal', 'sungguh'), ('bal', 'sungguh', 'rasa'), ('sungguh', 'rasa', 'muak'), ('rasa', 'muak', 'olah'), ('muak', 'olah', 'olah'), ('olah', 'olah', 'main')]"
"['suka', 'kuota', 'baca', 'offline']","[('suka', 'kuota', 'baca'), ('kuota', 'baca', 'offline')]"
"['bug', 'wifi', 'sinyal', 'login']","[('bug', 'wifi', 'sinyal'), ('wifi', 'sinyal', 'login')]"
"['suatu', 'fitur', 'bahasa']","[('suatu', 'fitur', 'bahasa')]"
"['baca', 'offline']",[]
"['favorit', 'baca', 'novel', 'nulis', 'novel', 'waktu', 'luang', 'lama', 'upgrade', 'downgrade', 'bug', 'kata', 'internet', 'wifi', 'baik', 'baik', 'problem', 'ulas', 'bug', 'lama', 'maju', 'kritik', 'kritik', 'anggap', 'baik']","[('favorit', 'baca', 'novel'), ('baca', 'novel', 'nulis'), ('novel', 'nulis', 'novel'), ('nulis', 'novel', 'waktu'), ('novel', 'waktu', 'luang'), ('waktu', 'luang', 'lama'), ('luang', 'lama', 'upgrade'), ('lama', 'upgrade', 'downgrade'), ('upgrade', 'downgrade', 'bug'), ('downgrade', 'bug', 'kata'), ('bug', 'kata', 'internet'), ('kata', 'internet', 'wifi'), ('internet', 'wifi', 'baik'), ('wifi', 'baik', 'baik'), ('baik', 'baik', 'problem'), ('baik', 'problem', 'ulas'), ('problem', 'ulas', 'bug'), ('ulas', 'bug', 'lama'), ('bug', 'lama', 'maju'), ('lama', 'maju', 'kritik'), ('maju', 'kritik', 'kritik'), ('kritik', 'kritik', 'anggap'), ('kritik', 'anggap', 'baik')]"
"['bis', 'daftar', 'error']","[('bis', 'daftar', 'error')]"
['masuk'],[]
"['seru', 'baca', 'iklan', 'bayar', 'cerita', 'seru', 'lanjutin']","[('seru', 'baca', 'iklan'), ('baca', 'iklan', 'bayar'), ('iklan', 'bayar', 'cerita'), ('bayar', 'cerita', 'seru'), ('cerita', 'seru', 'lanjutin')]"
"['buruk', 'update', 'kualitas', 'baca', 'offline', 'crta', 'jauh', 'skli', 'sblm', 'baca', 'cerita', 'offline', 'baca', 'crta', 'suka', 'website', 'gabisa', 'versi', 'percaya', 'seru']","[('buruk', 'update', 'kualitas'), ('update', 'kualitas', 'baca'), ('kualitas', 'baca', 'offline'), ('baca', 'offline', 'crta'), ('offline', 'crta', 'jauh'), ('crta', 'jauh', 'skli'), ('jauh', 'skli', 'sblm'), ('skli', 'sblm', 'baca'), ('sblm', 'baca', 'cerita'), ('baca', 'cerita', 'offline'), ('cerita', 'offline', 'baca'), ('offline', 'baca', 'crta'), ('baca', 'crta', 'suka'), ('crta', 'suka', 'website'), ('suka', 'website', 'gabisa'), ('website', 'gabisa', 'versi'), ('gabisa', 'versi', 'percaya'), ('versi', 'percaya', 'seru')]"
"['kapan', 'cepat', 'baik', 'in', 'doong']","[('kapan', 'cepat', 'baik'), ('cepat', 'baik', 'in'), ('baik', 'in', 'doong')]"
