userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt
Nur kholifah,ya ampun sering banget ngga bisa dibuka,3,11.15.1,2025-10-07 15:09:44,,
Ridestiana,kok sekarang malah gak bisa offline sih padahal udah dimasukin daftar offline tpi tetep gak bisa dibuka klo gak pke internet,2,11.15.1,2025-10-07 13:34:44,,
Gracesiella Amanda,"Gw gak masalah sih ini mau di duitin terus tapi harusnya jangan di bikin makin bobrok dong. Mau edit cerita susah banget, lama banget loadingnya malah kadang kagak ke save. Sejak update bukannya makin bener malah makin parah, jadi takut banget kalo sampe update lagi soalnya bug mulu!",1,11.15.1,2025-10-07 13:13:07,,
E L I O,"ini kenapa sekarang gak bisa naruh link di info akun yah? update baru kah? plis Wattpad balikin kayak dulu aja yang bisa naruh link apa aja di info akun, kalau gini kan aku sebagai author jadi kesusahan mau naruh link buat baca ceritaku yang sebagian chapternya aku taruh di karyak*rs*, nanti kalau dibalikin kyk dulu lagi ku kasih 5 bintang soalnya aplikasinya udah bagus 📌",1,11.12.2,2025-10-07 08:01:06,,
Dian a.l,Ni aplikasi ada masalah apa sih? sinyal gua bagus loh kok beranda nya nunjukin kalo sinyal gua jelek? gua gonta ganti make data/wifi pun sama aja gabisa. tolong lah perbaikin lagi kualitasnya. makin lama kok makin jelek,1,11.15.1,2025-10-07 06:05:52,,
Rendi Sanjaya,"susah daftar nyaa,bikin kata sandi aja susahh bagettt",2,11.15.1,2025-10-07 06:05:28,,
Dwi Nurfida,terlalu banyak iklannya tidak habis habis iklannya.,1,,2025-10-07 04:31:05,,
Syifa Nur Azizah,aplikasi nya bagus banget banget,5,,2025-10-07 04:24:49,,
Anisa Pebriyani,ini knp apknya ga bisa masuk akun yaa,1,11.15.1,2025-10-06 21:22:29,,
Umam Ap,untuk hiburan bagus bgt buat menemani kita gabut lopyu,5,,2025-10-06 18:42:41,,
Aditya Putra,"terlalu banyak bug, fitur pencarian masih kalah dengan aplikasi pesaing",1,11.15.1,2025-10-06 16:23:42,,
Debi Xiaomi,kpn GK bisa Masuk aku k aplikasi ada ganguan kah. tolong dong bntu saya,5,11.15.1,2025-10-06 16:15:06,,
Fauzan Harahap,"aneh, cerita bagus malah underrated, sedangkan cerita yang ‘pasaran’ malah rating teratas.",1,,2025-10-06 14:45:51,,
Oktavia Al Aqsha,"nge bug mulu, eror terus. gmn sih ini",1,11.15.1,2025-10-06 14:42:09,,
Yohanes Manullang,aplikasi nya bagus banget tapi terkadang kalau vote kadang error tolong di revisi lagi ya,5,11.15.1,2025-10-06 14:20:56,,
Do you Know BTS???,"kenapa aku harus ditagih 2x??? pertama aku udh klik berlangganan dri playstore, pas buka aplikasi nya masih ada iklan. iseng klik berlangganan lagi, aku kira bkal ada tulisan ""anda sudah berlangganan"", tapi ternyata tetep di ambil uangnya. awas aja klo bulan depan aku masih harus kluar duit.",3,11.15.1,2025-10-06 14:19:51,,
Remiella Id,"Saya baru saja menulis bab 1, masih draft bahkan belum saya publish sama sekali. Pengikut saya bahkan baru satu tapi kenapa kalian malah blokir akun saya bahkan cerita yang saya buat hilang dalam sekejap? menyebalkan sekali, sungguh. Ini membuatku merasa muak, seolah-olah kalian mempermainkan saya.",1,,2025-10-06 14:04:31,,
Hanifah Hani,suka banget soalnya kalo lagi gak punya kuota bisa baca offline,5,,2025-10-06 13:53:45,,
KHALISHA NAURAH HANDRIA Naura Handria,kenapa sekarang banyak sekali bug di wp padahal wifi sinyal nya bagus pas login Wattpad malah gak bisa,1,,2025-10-06 13:09:45,,
Nur Faizin,apknya bagus semoga suatu saat nanti ada fitur penerjemah bahasa,4,11.15.1,2025-10-06 12:05:29,,
Septia Eka Safitri,kenapa nggak bisa baca offline,1,11.15.1,2025-10-06 10:48:03,,
Who?,"wattpad udah jadi aplikasi favorit aku buat baca novel atau nulis novel saat ada waktu luang. tapi, makin lama bukannya upgrade malah downgrade. banyak bug. tidak bisa tersambung, katanya ""tidak ada internet""?? padahal wifi saya baik baik saja. saya pakai untuk buka aplikasi lain juga tidak ada problem sama sekali. ulasan tentang bug sudah ada banyak dan lama sekali, tapi tidak ada kemajuan. kritikan-kritikan dari pengguna tidak pernah kalian anggap serius kah? tolong diperbaiki!",2,11.15.1,2025-10-06 06:53:13,,
Kaniadewi Setiawan,gak bis daftar error mulu,3,11.15.1,2025-10-06 04:20:45,,
Laitisya Abadi,tidak bisa masuk,1,11.15.1,2025-10-06 03:29:17,,
Ar Yuni,seru aja baca di WP tuh gak banyak iklan. cuma bayar cerita yang seru tapi gak di lanjutin,5,11.15.1,2025-10-06 02:10:36,,
zara dya,"Knpa makin kesini makin buruk apk nya, makin di update makin gaada kualitas nya. Contohnya, knpa yg bisa di baca offline skrg cuma 2 crta, jauh skli dari yg sblm nya yg bisa baca 25 cerita offline. Dan pas saya baca crta suka di alihkan ke website entah apa itu. Tolong kembalikan Wattpad dalam versi jaman covid. Percaya deh Wattpad jaman itu beneran seru bgt",1,11.15.1,2025-10-05 23:05:46,,
Lee Minjoo,kapan bisa buka wattpadnya... tolong percepat perbaikinnya doong😭😭,2,11.15.1,2025-10-05 21:52:01,,
Via,terlalu banyak iklan.bentar bentar sudah iklan memuakan 😒. tolong di perbaiki lagi,1,11.15.1,2025-10-05 21:51:24,,
Keyla Az-Zahra Aqmela,kapan mau di perbaiki?,3,11.15.1,2025-10-05 17:11:44,,
Nazwa Khairunnisa,banyak iklannya,1,,2025-10-05 15:54:52,,
Faiz Rf,aplikasi apaan gk bisa login dah nyoba slama sminggu gk bsa masuk,1,11.15.1,2025-10-05 15:30:38,,
elvy wida,"jelek banget suka sama vitur 2020,wetty nya juga ilang",3,,2025-10-05 15:08:42,,
Angel Rebecca,selesai di update kok gak bisa masuk ya,1,11.15.1,2025-10-05 15:02:48,,
safa Islami,"apk nya seru banget, cuma ya kadang maisha ada beberapa error atau bug yang ngeselin banget",4,11.12.2,2025-10-05 14:40:06,,
Star Light,"kenapa sekarang walaupun udah tersedia offline tetep loading ya, ribet banget",2,,2025-10-05 14:14:55,,
