userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,content_casefold,content_tokenized,content_stemmed,content_filtered,label
Nawir Nawir,tidak bisa di pakai anj,1,11.15.1,2025-09-27 06:01:26,,,tidak bisa di pakai anj,"['tidak', 'bisa', 'di', 'pakai', 'anj']","['tidak', 'bisa', 'di', 'pakai', 'anj']",['anj'],negative
Faiza Izza,"ribet pendaftarnya + susah, padahal udah make akun google tapi tetep aja nggak bisa, padahal di situ aku udah nulis tanggal,bulan, tahun lahir sama nama asli ku tapi tetep aja salah, bukannya semakin gampang malah semakin susah pendaftaranya.",1,11.15.1,2025-09-27 01:31:59,,,"ribet pendaftarnya + susah, padahal udah make akun google tapi tetep aja nggak bisa, padahal di situ aku udah nulis tanggal,bulan, tahun lahir sama nama asli ku tapi tetep aja salah, bukannya semakin gampang malah semakin susah pendaftaranya.","['ribet', 'pen', 'daftar', 'nya', 'susah', 'padahal', 'sudah', 'pakai', 'akun', 'google', 'tapi', 'tetap', 'aja', 'tidak', 'bisa', 'padahal', 'di', 'situ', 'aku', 'sudah', 'nulis', 'tanggal', 'bulan', 'tahun', 'lahir', 'sama', 'nama', 'asli', 'ku', 'tapi', 'tetap', 'aja', 'salah', 'bukannya', 'semakin', 'gampang', 'malah', 'semakin', 'susah', 'pen', 'daftar', 'any']","['ribet', 'pen', 'daftar', 'nya', 'susah', 'padahal', 'sudah', 'pakai', 'akun', 'google', 'tapi', 'tetap', 'aja', 'tidak', 'bisa', 'padahal', 'di', 'situ', 'aku', 'sudah', 'nulis', 'tanggal', 'bulan', 'tahun', 'lahir', 'sama', 'nama', 'asli', 'ku', 'tapi', 'tetap', 'aja', 'salah', 'bukan', 'makin', 'gampang', 'malah', 'makin', 'susah', 'pen', 'daftar', 'any']","['ribet', 'daftar', 'susah', 'akun', 'google', 'situ', 'nulis', 'tanggal', 'lahir', 'nama', 'asli', 'gampang', 'susah', 'daftar', 'any']",negative
Lina Marlina,ga bisa login lagi setelah diuninstal,1,,2025-09-27 00:13:00,,,ga bisa login lagi setelah diuninstal,"['tidak', 'bisa', 'login', 'lagi', 'setelah', 'diuninstal']","['tidak', 'bisa', 'login', 'lagi', 'telah', 'diuninstal']","['login', 'diuninstal']",negative
Theresia Abigail,bug ga bisa buka ini gimana?,1,11.15.1,2025-09-26 23:07:04,,,bug ga bisa buka ini gimana?,"['bug', 'tidak', 'bisa', 'buka', 'ini', 'gimana']","['bug', 'tidak', 'bisa', 'buka', 'ini', 'gimana']",['bug'],negative
Rizki Adi,"Aplikasi nya Buruk, aku udah nulis 900 kata, pas di buka lagi malah ke reset, tolong bug beginian di perhatikan, dan selalu ngasih rekomendasi update sebelum mulai app supaya bugnya gak gitu gitu aja",1,,2025-09-26 20:50:40,,,"aplikasi nya buruk, aku udah nulis 900 kata, pas di buka lagi malah ke reset, tolong bug beginian di perhatikan, dan selalu ngasih rekomendasi update sebelum mulai app supaya bugnya gak gitu gitu aja","['aplikasi', 'nya', 'buruk', 'aku', 'sudah', 'nulis', 'kata', 'pas', 'di', 'buka', 'lagi', 'malah', 'ke', 'reset', 'tolong', 'bug', 'beginian', 'di', 'perhatikan', 'dan', 'selalu', 'ngasih', 're', 'komen', 'dasi', 'update', 'sebelum', 'mulai', 'aplikasi', 'supaya', 'bug', 'tidak', 'gitu', 'gitu', 'aja']","['aplikasi', 'nya', 'buruk', 'aku', 'sudah', 'nulis', 'kata', 'pas', 'di', 'buka', 'lagi', 'malah', 'ke', 'reset', 'tolong', 'bug', 'begini', 'di', 'perhati', 'dan', 'selalu', 'ngasih', 're', 'komen', 'dasi', 'update', 'belum', 'mulai', 'aplikasi', 'supaya', 'bug', 'tidak', 'gitu', 'gitu', 'aja']","['buruk', 'nulis', 'kata', 'reset', 'bug', 'perhati', 'ngasih', 're', 'komen', 'dasi', 'update', 'bug']",negative
kanaya khalish,"sering bug, tlg segera di perbaiki",2,11.15.1,2025-09-26 16:01:44,,,"sering bug, tlg segera di perbaiki","['sering', 'bug', 'tolong', 'segera', 'di', 'perbaiki']","['sering', 'bug', 'tolong', 'segera', 'di', 'baik']","['bug', 'baik']",negative
Sindi Indah permadani,banyak iklan Bjirr,1,,2025-09-26 13:54:20,,,banyak iklan bjirr,"['banyak', 'iklan', 'bjirr']","['banyak', 'iklan', 'bjirr']","['iklan', 'bjirr']",negative
Wanda SitiHamidahA2,kenapa gak bisa ke pasang udah diinstal kok tapi kagak ada,1,11.10.0,2025-09-26 13:00:38,,,kenapa gak bisa ke pasang udah diinstal kok tapi kagak ada,"['kenapa', 'tidak', 'bisa', 'ke', 'pasang', 'sudah', 'diinstal', 'kok', 'tapi', 'tidak', 'ada']","['kenapa', 'tidak', 'bisa', 'ke', 'pasang', 'sudah', 'diinstal', 'kok', 'tapi', 'tidak', 'ada']","['pasang', 'diinstal']",negative
Kk Lover,"I lost most books I painfully collect to read later. Are there any new rules from wattpad I don't know that erased books with some criteria? I am sad. I am disappointed. I want to cry. I AM CRYING. Should I move on from wattpad? I am so sad... Now, even the author gone. I am speechless.",1,,2025-09-26 07:48:46,,,"i lost most books i painfully collect to read later. are there any new rules from wattpad i don't know that erased books with some criteria? i am sad. i am disappointed. i want to cry. i am crying. should i move on from wattpad? i am so sad... now, even the author gone. i am speechless.","['lost', 'most', 'books', 'painfully', 'collect', 'to', 'read', 'later', 'are', 'there', 'any', 'new', 'rules', 'from', 'wattpad', 'don', 'know', 'that', 'erased', 'books', 'with', 'some', 'criteria', 'am', 'sad', 'am', 'disappointed', 'want', 'to', 'cry', 'am', 'crying', 'should', 'move', 'on', 'from', 'wattpad', 'am', 'so', 'sad', 'now', 'even', 'the', 'author', 'gone', 'am', 'speechless']","['lost', 'most', 'books', 'painfully', 'collect', 'to', 'read', 'later', 'are', 'there', 'any', 'new', 'rules', 'from', 'wattpad', 'don', 'know', 'that', 'erased', 'books', 'with', 'some', 'criteria', 'am', 'sad', 'am', 'disappointed', 'want', 'to', 'cry', 'am', 'crying', 'should', 'move', 'on', 'from', 'wattpad', 'am', 'so', 'sad', 'now', 'even', 'the', 'author', 'gone', 'am', 'speechless']","['lost', 'most', 'books', 'painfully', 'collect', 'to', 'read', 'later', 'are', 'there', 'any', 'new', 'rules', 'from', 'don', 'know', 'that', 'erased', 'books', 'with', 'some', 'criteria', 'am', 'sad', 'am', 'disappointed', 'want', 'to', 'cry', 'am', 'crying', 'should', 'move', 'on', 'from', 'am', 'so', 'sad', 'now', 'even', 'the', 'author', 'gone', 'am', 'speechless']",positive
Dhiera Azzahra,"Susah login,selalu muncul notifikasi aplikasi telah berhenti",2,11.10.0,2025-09-26 07:11:06,,,"susah login,selalu muncul notifikasi aplikasi telah berhenti","['susah', 'login', 'selalu', 'muncul', 'notifikasi', 'aplikasi', 'telah', 'berhenti']","['susah', 'login', 'selalu', 'muncul', 'notifikasi', 'aplikasi', 'telah', 'henti']","['susah', 'login', 'notifikasi', 'henti']",negative
Tarisa Tasya Maulida,EROR MULU! Di apk mau di web SAMA!!! 😡,1,11.12.0,2025-09-26 01:52:42,,,eror mulu! di apk mau di web sama!!! 😡,"['error', 'mulu', 'di', 'aplikasi', 'mau', 'di', 'web', 'sama']","['error', 'mulu', 'di', 'aplikasi', 'mau', 'di', 'web', 'sama']","['error', 'web']",negative
Nur Rani,"wth happened to Wattpad recently 😤 error terusss, temukan jalan pulang terus jadinya gak bisa search apapun cuman offline aja kecuali kalau pakai data kayaknya, aku langganan wifi jadi gak bisa! tolong benerin secepatnyaaa",2,11.9.0,2025-09-25 22:45:45,,,"wth happened to wattpad recently 😤 error terusss, temukan jalan pulang terus jadinya gak bisa search apapun cuman offline aja kecuali kalau pakai data kayaknya, aku langganan wifi jadi gak bisa! tolong benerin secepatnyaaa","['wth', 'happened', 'to', 'wattpad', 'recently', 'error', 'terus', 'temukan', 'jalan', 'pulang', 'terus', 'jadinya', 'tidak', 'bisa', 'search', 'apapun', 'cuma', 'offline', 'aja', 'kecuali', 'kalau', 'pakai', 'data', 'kayaknya', 'aku', 'langganan', 'wifi', 'jadi', 'tidak', 'bisa', 'tolong', 'benerin', 'sec', 'ep', 'at', 'nya']","['wth', 'happened', 'to', 'wattpad', 'recently', 'error', 'terus', 'temu', 'jalan', 'pulang', 'terus', 'jadi', 'tidak', 'bisa', 'search', 'apa', 'cuma', 'offline', 'aja', 'kecuali', 'kalau', 'pakai', 'data', 'kayak', 'aku', 'langgan', 'wifi', 'jadi', 'tidak', 'bisa', 'tolong', 'benerin', 'sec', 'ep', 'at', 'nya']","['wth', 'happened', 'to', 'recently', 'error', 'search', 'offline', 'kecuali', 'data', 'langgan', 'wifi', 'sec', 'at']",negative
Klee,Data bocor ke dark web pler,1,,2025-09-25 18:07:17,,,data bocor ke dark web pler,"['data', 'bocor', 'ke', 'dark', 'web', 'pler']","['data', 'bocor', 'ke', 'dark', 'web', 'pler']","['data', 'bocor', 'dark', 'web', 'pler']",negative
Siti nur karomah,"setiap ganti bab selalu iklan,ganggu bgttt ih",1,11.14.1,2025-09-25 17:06:56,,,"setiap ganti bab selalu iklan,ganggu bgttt ih","['setiap', 'ganti', 'bab', 'selalu', 'iklan', 'ganggu', 'bgt', 'ih']","['tiap', 'ganti', 'bab', 'selalu', 'iklan', 'ganggu', 'bgt', 'ih']","['bab', 'iklan', 'bgt']",negative
Indira Amara putri,"Banyak iklan mulu, jadi ga seru bacanya",2,11.14.1,2025-09-25 16:19:36,,,"banyak iklan mulu, jadi ga seru bacanya","['banyak', 'iklan', 'mulu', 'jadi', 'tidak', 'seru', 'bacanya']","['banyak', 'iklan', 'mulu', 'jadi', 'tidak', 'seru', 'baca']","['iklan', 'seru', 'baca']",negative
Seren Seravina,gk bisa di download,1,,2025-09-25 15:41:54,,,gk bisa di download,"['tidak', 'bisa', 'di', 'simpan']","['tidak', 'bisa', 'di', 'simpan']",['simpan'],negative
Suci asih,judulnya menarik aku suka semua judulnya🥰,5,11.15.1,2025-09-25 12:20:58,,,judulnya menarik aku suka semua judulnya🥰,"['judulnya', 'menarik', 'aku', 'suka', 'semua', 'judulnya']","['judul', 'tarik', 'aku', 'suka', 'semua', 'judul']","['judul', 'suka', 'judul']",positive
Erina Nindhya Zahra,aplikasi bagus tapi sering banget harus daftar akun,4,,2025-09-25 11:35:52,,,aplikasi bagus tapi sering banget harus daftar akun,"['aplikasi', 'bagus', 'tapi', 'sering', 'banget', 'harus', 'daftar', 'akun']","['aplikasi', 'bagus', 'tapi', 'sering', 'banget', 'harus', 'daftar', 'akun']","['daftar', 'akun']",positive
