userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,content_casefold,content_tokenized,content_stemmed,content_filtered,label
Nur kholifah,ya ampun sering banget ngga bisa dibuka,3,11.15.1,2025-10-07 15:09:44,,,ya ampun sering banget ngga bisa dibuka,"['iya', 'ampun', 'sering', 'banget', 'tidak', 'bisa', 'dibuka']","['iya', 'ampun', 'sering', 'banget', 'tidak', 'bisa', 'buka']",['ampun'],neutral
Ridestiana,kok sekarang malah gak bisa offline sih padahal udah dimasukin daftar offline tpi tetep gak bisa dibuka klo gak pke internet,2,11.15.1,2025-10-07 13:34:44,,,kok sekarang malah gak bisa offline sih padahal udah dimasukin daftar offline tpi tetep gak bisa dibuka klo gak pke internet,"['kok', 'sekarang', 'malah', 'tidak', 'bisa', 'offline', 'sih', 'padahal', 'sudah', 'dimasukin', 'daftar', 'offline', 'tapi', 'tetap', 'tidak', 'bisa', 'dibuka', 'kalau', 'tidak', 'pakai', 'internet']","['kok', 'sekarang', 'malah', 'tidak', 'bisa', 'offline', 'sih', 'padahal', 'sudah', 'dimasukin', 'daftar', 'offline', 'tapi', 'tetap', 'tidak', 'bisa', 'buka', 'kalau', 'tidak', 'pakai', 'internet']","['offline', 'dimasukin', 'daftar', 'offline', 'internet']",negative
Gracesiella Amanda,"Gw gak masalah sih ini mau di duitin terus tapi harusnya jangan di bikin makin bobrok dong. Mau edit cerita susah banget, lama banget loadingnya malah kadang kagak ke save. Sejak update bukannya makin bener malah makin parah, jadi takut banget kalo sampe update lagi soalnya bug mulu!",1,11.15.1,2025-10-07 13:13:07,,,"gw gak masalah sih ini mau di duitin terus tapi harusnya jangan di bikin makin bobrok dong. mau edit cerita susah banget, lama banget loadingnya malah kadang kagak ke save. sejak update bukannya makin bener malah makin parah, jadi takut banget kalo sampe update lagi soalnya bug mulu!","['aku', 'tidak', 'masalah', 'sih', 'ini', 'mau', 'di', 'duitin', 'terus', 'tapi', 'harusnya', 'jangan', 'di', 'bikin', 'makin', 'bobrok', 'dong', 'mau', 'edit', 'cerita', 'susah', 'banget', 'lama', 'banget', 'loadingnya', 'malah', 'kadang', 'tidak', 'ke', 'save', 'sejak', 'update', 'bukannya', 'makin', 'benar', 'malah', 'makin', 'parah', 'jadi', 'takut', 'banget', 'kalau', 'sampai', 'update', 'lagi', 'soalnya', 'bug', 'mulu']","['aku', 'tidak', 'masalah', 'sih', 'ini', 'mau', 'di', 'duitin', 'terus', 'tapi', 'harus', 'jangan', 'di', 'bikin', 'makin', 'bobrok', 'dong', 'mau', 'edit', 'cerita', 'susah', 'banget', 'lama', 'banget', 'loadingnya', 'malah', 'kadang', 'tidak', 'ke', 'save', 'sejak', 'update', 'bukan', 'makin', 'benar', 'malah', 'makin', 'parah', 'jadi', 'takut', 'banget', 'kalau', 'sampai', 'update', 'lagi', 'soal', 'bug', 'mulu']","['masalah', 'duitin', 'bobrok', 'edit', 'cerita', 'susah', 'lama', 'loadingnya', 'save', 'sejak', 'update', 'takut', 'update', 'bug']",negative
E L I O,"ini kenapa sekarang gak bisa naruh link di info akun yah? update baru kah? plis Wattpad balikin kayak dulu aja yang bisa naruh link apa aja di info akun, kalau gini kan aku sebagai author jadi kesusahan mau naruh link buat baca ceritaku yang sebagian chapternya aku taruh di karyak*rs*, nanti kalau dibalikin kyk dulu lagi ku kasih 5 bintang soalnya aplikasinya udah bagus 📌",1,11.12.2,2025-10-07 08:01:06,,,"ini kenapa sekarang gak bisa naruh link di info akun yah? update baru kah? plis wattpad balikin kayak dulu aja yang bisa naruh link apa aja di info akun, kalau gini kan aku sebagai author jadi kesusahan mau naruh link buat baca ceritaku yang sebagian chapternya aku taruh di karyak*rs*, nanti kalau dibalikin kyk dulu lagi ku kasih 5 bintang soalnya aplikasinya udah bagus 📌","['ini', 'kenapa', 'sekarang', 'tidak', 'bisa', 'naruh', 'link', 'di', 'info', 'akun', 'iya', 'update', 'baru', 'kah', 'tolong', 'wattpad', 'kembalikan', 'seperti', 'dulu', 'aja', 'yang', 'bisa', 'naruh', 'link', 'apa', 'aja', 'di', 'info', 'akun', 'kalau', 'gini', 'kan', 'aku', 'sebagai', 'author', 'jadi', 'kesusahan', 'mau', 'naruh', 'link', 'buat', 'baca', 'ceritaku', 'yang', 'sebagian', 'chapternya', 'aku', 'taruh', 'di', 'karyak', 'rs', 'nanti', 'kalau', 'dibalikin', 'kyk', 'dulu', 'lagi', 'ku', 'kasih', 'bintang', 'soalnya', 'tolong', 'as', 'in', 'iya', 'sudah', 'bagus']","['ini', 'kenapa', 'sekarang', 'tidak', 'bisa', 'naruh', 'link', 'di', 'info', 'akun', 'iya', 'update', 'baru', 'kah', 'tolong', 'wattpad', 'kembali', 'seperti', 'dulu', 'aja', 'yang', 'bisa', 'naruh', 'link', 'apa', 'aja', 'di', 'info', 'akun', 'kalau', 'gin', 'kan', 'aku', 'bagai', 'author', 'jadi', 'susah', 'mau', 'naruh', 'link', 'buat', 'baca', 'cerita', 'yang', 'bagi', 'chapternya', 'aku', 'taruh', 'di', 'karyak', 'rs', 'nanti', 'kalau', 'dibalikin', 'kyk', 'dulu', 'lagi', 'ku', 'kasih', 'bintang', 'soal', 'tolong', 'as', 'in', 'iya', 'sudah', 'bagus']","['naruh', 'link', 'akun', 'update', 'naruh', 'link', 'akun', 'author', 'susah', 'naruh', 'link', 'baca', 'cerita', 'chapternya', 'taruh', 'karyak', 'rs', 'dibalikin', 'bintang', 'as', 'in']",negative
Dian a.l,Ni aplikasi ada masalah apa sih? sinyal gua bagus loh kok beranda nya nunjukin kalo sinyal gua jelek? gua gonta ganti make data/wifi pun sama aja gabisa. tolong lah perbaikin lagi kualitasnya. makin lama kok makin jelek,1,11.15.1,2025-10-07 06:05:52,,,ni aplikasi ada masalah apa sih? sinyal gua bagus loh kok beranda nya nunjukin kalo sinyal gua jelek? gua gonta ganti make data/wifi pun sama aja gabisa. tolong lah perbaikin lagi kualitasnya. makin lama kok makin jelek,"['ini', 'aplikasi', 'ada', 'masalah', 'apa', 'sih', 'sinyal', 'aku', 'bagus', 'loh', 'kok', 'beranda', 'nya', 'nunjukin', 'kalau', 'sinyal', 'aku', 'jelek', 'aku', 'gonta', 'ganti', 'pakai', 'data', 'wifi', 'pun', 'sama', 'aja', 'gabisa', 'tolong', 'lah', 'perbaikin', 'lagi', 'kuali', 'tas', 'nya', 'makin', 'lama', 'kok', 'makin', 'jelek']","['ini', 'aplikasi', 'ada', 'masalah', 'apa', 'sih', 'sinyal', 'aku', 'bagus', 'loh', 'kok', 'beranda', 'nya', 'nunjukin', 'kalau', 'sinyal', 'aku', 'jelek', 'aku', 'gonta', 'ganti', 'pakai', 'data', 'wifi', 'pun', 'sama', 'aja', 'gabisa', 'tolong', 'lah', 'perbaikin', 'lagi', 'kuali', 'tas', 'nya', 'makin', 'lama', 'kok', 'makin', 'jelek']","['masalah', 'sinyal', 'beranda', 'nunjukin', 'sinyal', 'jelek', 'gonta', 'data', 'wifi', 'gabisa', 'perbaikin', 'kuali', 'tas', 'lama', 'jelek']",negative
Rendi Sanjaya,"susah daftar nyaa,bikin kata sandi aja susahh bagettt",2,11.15.1,2025-10-07 06:05:28,,,"susah daftar nyaa,bikin kata sandi aja susahh bagettt","['susah', 'daftar', 'nyaa', 'bikin', 'kata', 'sandi', 'aja', 'susahh', 'baget']","['susah', 'daftar', 'nyaa', 'bikin', 'kata', 'sandi', 'aja', 'susahh', 'baget']","['susah', 'daftar', 'nyaa', 'kata', 'sandi', 'susahh', 'baget']",negative
Dwi Nurfida,terlalu banyak iklannya tidak habis habis iklannya.,1,,2025-10-07 04:31:05,,,terlalu banyak iklannya tidak habis habis iklannya.,"['terlalu', 'banyak', 'iklannya', 'tidak', 'habis', 'habis', 'iklannya']","['terlalu', 'banyak', 'iklan', 'tidak', 'habis', 'habis', 'iklan']","['iklan', 'iklan']",negative
Syifa Nur Azizah,aplikasi nya bagus banget banget,5,,2025-10-07 04:24:49,,,aplikasi nya bagus banget banget,"['aplikasi', 'nya', 'bagus', 'banget', 'banget']","['aplikasi', 'nya', 'bagus', 'banget', 'banget']",[],positive
Anisa Pebriyani,ini knp apknya ga bisa masuk akun yaa,1,11.15.1,2025-10-06 21:22:29,,,ini knp apknya ga bisa masuk akun yaa,"['ini', 'kenapa', 'aplikasi', 'tidak', 'bisa', 'masuk', 'akun', 'iya']","['ini', 'kenapa', 'aplikasi', 'tidak', 'bisa', 'masuk', 'akun', 'iya']","['masuk', 'akun']",negative
Umam Ap,untuk hiburan bagus bgt buat menemani kita gabut lopyu,5,,2025-10-06 18:42:41,,,untuk hiburan bagus bgt buat menemani kita gabut lopyu,"['untuk', 'hiburan', 'bagus', 'banget', 'buat', 'menemani', 'kita', 'gabut', 'lopyu']","['untuk', 'hibur', 'bagus', 'banget', 'buat', 'tani', 'kita', 'gabut', 'lopyu']","['hibur', 'tani', 'lopyu']",positive
