userName,score,reviewCreatedVersion,at,replyContent,repliedAt,content_clean
Nur kholifah,3,11.15.1,2025-10-07 15:09:44,,,ya ampun sering banget ngga bisa dibuka
Ridestiana,2,11.15.1,2025-10-07 13:34:44,,,kok sekarang malah gak bisa offline sih padahal udah dimasukin daftar offline tpi tetep gak bisa dibuka klo gak pke internet
Gracesiella Amanda,1,11.15.1,2025-10-07 13:13:07,,,"gw gak masalah sih ini mau di duitin terus tapi harusnya jangan di bikin makin bobrok dong. mau edit cerita susah banget, lama banget loadingnya malah kadang kagak ke save. sejak update bukannya makin bener malah makin parah, jadi takut banget kalo sampe update lagi soalnya bug mulu!"
E L I O,1,11.12.2,2025-10-07 08:01:06,,,"ini kenapa sekarang gak bisa naruh link di info akun yah? update baru kah? plis wattpad balikin kayak dulu aja yang bisa naruh link apa aja di info akun, kalau gini kan aku sebagai author jadi kesusahan mau naruh link buat baca ceritaku yang sebagian chapternya aku taruh di karyak*rs*, nanti kalau dibalikin kyk dulu lagi ku kasih 5 bintang soalnya aplikasinya udah bagus 📌"
Dian a.l,1,11.15.1,2025-10-07 06:05:52,,,ni aplikasi ada masalah apa sih? sinyal gua bagus loh kok beranda nya nunjukin kalo sinyal gua jelek? gua gonta ganti make data/wifi pun sama aja gabisa. tolong lah perbaikin lagi kualitasnya. makin lama kok makin jelek
Rendi Sanjaya,2,11.15.1,2025-10-07 06:05:28,,,"susah daftar nyaa,bikin kata sandi aja susahh bagettt"
Dwi Nurfida,1,,2025-10-07 04:31:05,,,terlalu banyak iklannya tidak habis habis iklannya.
Syifa Nur Azizah,5,,2025-10-07 04:24:49,,,aplikasi nya bagus banget banget
Anisa Pebriyani,1,11.15.1,2025-10-06 21:22:29,,,ini knp apknya ga bisa masuk akun yaa
Umam Ap,5,,2025-10-06 18:42:41,,,untuk hiburan bagus bgt buat menemani kita gabut lopyu
Aditya Putra,1,11.15.1,2025-10-06 16:23:42,,,"terlalu banyak bug, fitur pencarian masih kalah dengan aplikasi pesaing"
Debi Xiaomi,5,11.15.1,2025-10-06 16:15:06,,,kpn gk bisa masuk aku k aplikasi ada ganguan kah. tolong dong bntu saya
Fauzan Harahap,1,,2025-10-06 14:45:51,,,"aneh, cerita bagus malah underrated, sedangkan cerita yang ‘pasaran’ malah rating teratas."
Oktavia Al Aqsha,1,11.15.1,2025-10-06 14:42:09,,,"nge bug mulu, eror terus. gmn sih ini"
Yohanes Manullang,5,11.15.1,2025-10-06 14:20:56,,,aplikasi nya bagus banget tapi terkadang kalau vote kadang error tolong di revisi lagi ya
Do you Know BTS???,3,11.15.1,2025-10-06 14:19:51,,,"kenapa aku harus ditagih 2x??? pertama aku udh klik berlangganan dri playstore, pas buka aplikasi nya masih ada iklan. iseng klik berlangganan lagi, aku kira bkal ada tulisan ""anda sudah berlangganan"", tapi ternyata tetep di ambil uangnya. awas aja klo bulan depan aku masih harus kluar duit."
Remiella Id,1,,2025-10-06 14:04:31,,,"saya baru saja menulis bab 1, masih draft bahkan belum saya publish sama sekali. pengikut saya bahkan baru satu tapi kenapa kalian malah blokir akun saya bahkan cerita yang saya buat hilang dalam sekejap? menyebalkan sekali, sungguh. ini membuatku merasa muak, seolah-olah kalian mempermainkan saya."
Hanifah Hani,5,,2025-10-06 13:53:45,,,suka banget soalnya kalo lagi gak punya kuota bisa baca offline
KHALISHA NAURAH HANDRIA Naura Handria,1,,2025-10-06 13:09:45,,,kenapa sekarang banyak sekali bug di wp padahal wifi sinyal nya bagus pas login wattpad malah gak bisa
Nur Faizin,4,11.15.1,2025-10-06 12:05:29,,,apknya bagus semoga suatu saat nanti ada fitur penerjemah bahasa
Septia Eka Safitri,1,11.15.1,2025-10-06 10:48:03,,,kenapa nggak bisa baca offline
